Geneid	gene_name	product	interaction_log2FC	interaction_padj	NK01067_log2FC	NK01067_padj	dwbbM_log2FC	dwbbM_padj
M8Y62_14765	uspF	universal stress protein UspF	1.64635240921099	7.78733349574442e-25	-2.94573841185772	5.54635116010613e-103	-1.30133885565753	1.81007871231288e-27
M8Y62_05960	raiA	ribosome-associated translation inhibitor RaiA	1.5828698591517	9.58738020954101e-25	-2.73225288648566	4.13884667515739e-95	-1.15222060235094	8.64069316556619e-24
M8Y62_15390	M8Y62_15390	YciN family protein	1.64860649805785	1.25097409591407e-24	-0.322110038175368	0.0324155668054708	1.32376588938625	3.88863244943892e-24
M8Y62_17365	bssR	biofilm formation regulator BssR	1.62702620322802	1.67690912350441e-24	-1.01666728730165	2.98338894870593e-23	0.606975893061819	8.13811541284177e-06
M8Y62_11275	M8Y62_11275	ABC transporter ATP-binding protein	-3.39398892210962	9.11589312799105e-24	3.38000546779607	3.54201505895501e-29	-0.0258899881979539	0.936586071789891
M8Y62_02375	yhcN-B	DUF1471 family stress response protein YhcN-B	-3.05192170598854	1.41221530237482e-23	4.83160530408866	1.47422672067036e-84	1.77627872595226	1.92905309656286e-25
M8Y62_12330	M8Y62_12330	GhoT/OrtT family toxin	2.32503013874684	1.79924364820906e-23	-2.67821895174533	5.69938851488348e-41	-0.351745678525729	0.0372048733497623
M8Y62_26785	M8Y62_26785	DUF1471 domain-containing protein	1.29618626843539	5.5449178577829e-23	-1.3663218534496	1.57491031627003e-54	-0.0733558308416741	0.612218418421317
M8Y62_10750	M8Y62_10750	NarK family nitrate/nitrite MFS transporter	-3.67641763666883	2.51711642443838e-22	4.58909465259212	1.835608991591e-54	0.907379995224749	0.00389434165678013
M8Y62_15615	osmE	osmotically-inducible lipoprotein OsmE	1.91407990880027	3.79046851163105e-22	-2.21464218815874	3.50669046429393e-60	-0.30247020852681	0.0512836521663115
M8Y62_11845	M8Y62_11845	MBL fold metallo-hydrolase	-2.52984547779399	9.18941534366782e-22	2.93998079861116	1.96320636733586e-48	0.406865899125556	0.0497633821368593
M8Y62_11675	M8Y62_11675	VirK/YbjX family protein	2.36429037549915	3.45110769442202e-21	-2.60074643138542	6.44039966267564e-38	-0.241542372018045	0.118148491845815
